,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
0,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 0]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
1,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 10]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
2,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 20]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
3,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 30]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
4,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 40]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
5,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 50]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
6,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 60]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
7,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 70]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
8,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 80]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
9,"[0.01, 'l1', 'liblinear', 'ovr', 50, 1, 90]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
10,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 0]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
11,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 10]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
12,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 20]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
13,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 30]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
14,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 40]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
15,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 50]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
16,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 60]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
17,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 70]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
18,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 80]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
19,"[0.01, 'l1', 'liblinear', 'ovr', 50, -1, 90]",0.113456464,0.5,0.184946237,0.739697802,coefs,0.659968596
