,params,precisions,recalls,f1_scores,accuracy,aucs
573,"['goss', 40, 10, 0.1, 50]",0.292307692,0.220930233,0.251655629,0.92239011,0.659968596
227,"['dart', 10, 7, 0.1, 150]",0.226415094,0.279069767,0.25,0.901098901,0.659968596
466,"['goss', 20, 7, 0.1, 100]",0.305084746,0.209302326,0.248275862,0.925137363,0.659968596
214,"['dart', 10, 5, 0.1, 100]",0.2,0.313953488,0.244343891,0.885302198,0.659968596
465,"['goss', 20, 7, 0.1, 50]",0.244186047,0.244186047,0.244186047,0.910714286,0.659968596
273,"['dart', 20, 7, 0.1, 50]",0.20661157,0.290697674,0.241545894,0.89217033,0.659968596
83,"['gbdt', 20, 7, 0.1, 150]",0.340425532,0.186046512,0.240601504,0.930631868,0.659968596
321,"['dart', 30, 7, 0.1, 50]",0.216981132,0.26744186,0.239583333,0.899725275,0.659968596
335,"['dart', 30, 10, 0.1, 150]",0.303571429,0.197674419,0.23943662,0.925824176,0.659968596
370,"['dart', 40, 7, 0.1, 100]",0.243902439,0.23255814,0.238095238,0.912087912,0.659968596
128,"['gbdt', 30, 7, 0.01, 150]",0.17,0.395348837,0.237762238,0.850274725,0.659968596
33,"['gbdt', 10, 7, 0.1, 50]",0.206896552,0.279069767,0.237623762,0.894230769,0.659968596
21,"['gbdt', 10, 5, 0.1, 50]",0.194029851,0.302325581,0.236363636,0.884615385,0.659968596
562,"['goss', 40, 7, 0.1, 100]",0.293103448,0.197674419,0.236111111,0.924450549,0.659968596
572,"['goss', 40, 10, 0.01, 150]",0.1875,0.313953488,0.234782609,0.879120879,0.659968596
238,"['dart', 10, 10, 0.1, 100]",0.196850394,0.290697674,0.234741784,0.888049451,0.659968596
515,"['goss', 30, 7, 0.1, 150]",0.288135593,0.197674419,0.234482759,0.923763736,0.659968596
80,"['gbdt', 20, 7, 0.01, 150]",0.164319249,0.406976744,0.234113712,0.84271978,0.659968596
190,"['gbdt', 40, 10, 0.1, 100]",0.31372549,0.186046512,0.233576642,0.927884615,0.659968596
371,"['dart', 40, 7, 0.1, 150]",0.246753247,0.220930233,0.233128834,0.914148352,0.659968596
381,"['dart', 40, 10, 0.1, 50]",0.246753247,0.220930233,0.233128834,0.914148352,0.659968596
45,"['gbdt', 10, 10, 0.1, 50]",0.2,0.279069767,0.233009709,0.891483516,0.659968596
574,"['goss', 40, 10, 0.1, 100]",0.283333333,0.197674419,0.232876712,0.923076923,0.659968596
92,"['gbdt', 20, 10, 0.01, 150]",0.165829146,0.38372093,0.231578947,0.849587912,0.659968596
226,"['dart', 10, 7, 0.1, 100]",0.192307692,0.290697674,0.231481481,0.885989011,0.659968596
382,"['dart', 40, 10, 0.1, 100]",0.278688525,0.197674419,0.231292517,0.92239011,0.659968596
524,"['goss', 30, 10, 0.01, 150]",0.174698795,0.337209302,0.23015873,0.866758242,0.659968596
417,"['goss', 10, 7, 0.1, 50]",0.185714286,0.302325581,0.230088496,0.880494505,0.659968596
274,"['dart', 20, 7, 0.1, 100]",0.227272727,0.23255814,0.229885057,0.907967033,0.659968596
215,"['dart', 10, 5, 0.1, 150]",0.195121951,0.279069767,0.229665072,0.889423077,0.659968596
453,"['goss', 20, 5, 0.1, 50]",0.195121951,0.279069767,0.229665072,0.889423077,0.659968596
287,"['dart', 20, 10, 0.1, 150]",0.253521127,0.209302326,0.229299363,0.916895604,0.659968596
