,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
0,"['sigmoid', 5, True]",0.15517241379310345,0.10465116279069768,0.125,0.9134615384615384,coefs,0.6599685961636393
1,"['sigmoid', 5, False]",0.2631578947368421,0.05813953488372093,0.09523809523809525,0.9347527472527473,coefs,0.6599685961636393
2,"['sigmoid', 7, True]",0.14754098360655737,0.10465116279069768,0.12244897959183673,0.9114010989010989,coefs,0.6599685961636393
3,"['sigmoid', 7, False]",1.0,0.011627906976744186,0.022988505747126436,0.9416208791208791,coefs,0.6599685961636393
4,"['sigmoid', 10, True]",0.1836734693877551,0.10465116279069768,0.13333333333333333,0.9196428571428571,coefs,0.6599685961636393
5,"['sigmoid', 10, False]",0.25,0.09302325581395349,0.13559322033898305,0.929945054945055,coefs,0.6599685961636393
6,"['isotonic', 5, True]",0.21428571428571427,0.10465116279069768,0.14062500000000003,0.9244505494505495,coefs,0.6599685961636393
7,"['isotonic', 5, False]",0.125,0.011627906976744186,0.02127659574468085,0.9368131868131868,coefs,0.6599685961636393
8,"['isotonic', 7, True]",0.16071428571428573,0.10465116279069768,0.12676056338028172,0.9148351648351648,coefs,0.6599685961636393
9,"['isotonic', 7, False]",0.0,0.0,0.0,0.9409340659340659,coefs,0.6599685961636393
10,"['isotonic', 10, True]",0.20512820512820512,0.09302325581395349,0.128,0.9251373626373627,coefs,0.6599685961636393
11,"['isotonic', 10, False]",0.21428571428571427,0.03488372093023256,0.06,0.9354395604395604,coefs,0.6599685961636393
