,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
58,"[0.16000000000000003, 'rbf', 'auto', 'ovr', True]",0.28,0.162790698,0.205882353,0.925824176,coefs,0.659968596
59,"[0.16000000000000003, 'rbf', 'auto', 'ovr', False]",0.28,0.162790698,0.205882353,0.925824176,coefs,0.659968596
278,"[0.8600000000000001, 'poly', 'auto', 'ovr', True]",0.19,0.220930233,0.204301075,0.898351648,coefs,0.659968596
279,"[0.8600000000000001, 'poly', 'auto', 'ovr', False]",0.19,0.220930233,0.204301075,0.898351648,coefs,0.659968596
294,"[0.91, 'poly', 'auto', 'ovr', True]",0.182692308,0.220930233,0.2,0.895604396,coefs,0.659968596
295,"[0.91, 'poly', 'auto', 'ovr', False]",0.182692308,0.220930233,0.2,0.895604396,coefs,0.659968596
310,"[0.9600000000000001, 'poly', 'auto', 'ovr', True]",0.182692308,0.220930233,0.2,0.895604396,coefs,0.659968596
311,"[0.9600000000000001, 'poly', 'auto', 'ovr', False]",0.182692308,0.220930233,0.2,0.895604396,coefs,0.659968596
262,"[0.81, 'poly', 'auto', 'ovr', True]",0.183673469,0.209302326,0.195652174,0.898351648,coefs,0.659968596
263,"[0.81, 'poly', 'auto', 'ovr', False]",0.183673469,0.209302326,0.195652174,0.898351648,coefs,0.659968596
74,"[0.21000000000000002, 'rbf', 'auto', 'ovr', True]",0.276595745,0.151162791,0.195488722,0.926510989,coefs,0.659968596
75,"[0.21000000000000002, 'rbf', 'auto', 'ovr', False]",0.276595745,0.151162791,0.195488722,0.926510989,coefs,0.659968596
134,"[0.41000000000000003, 'poly', 'auto', 'ovr', True]",0.191011236,0.197674419,0.194285714,0.903159341,coefs,0.659968596
135,"[0.41000000000000003, 'poly', 'auto', 'ovr', False]",0.191011236,0.197674419,0.194285714,0.903159341,coefs,0.659968596
214,"[0.66, 'poly', 'auto', 'ovr', True]",0.180851064,0.197674419,0.188888889,0.899725275,coefs,0.659968596
215,"[0.66, 'poly', 'auto', 'ovr', False]",0.180851064,0.197674419,0.188888889,0.899725275,coefs,0.659968596
230,"[0.7100000000000001, 'poly', 'auto', 'ovr', True]",0.180851064,0.197674419,0.188888889,0.899725275,coefs,0.659968596
231,"[0.7100000000000001, 'poly', 'auto', 'ovr', False]",0.180851064,0.197674419,0.188888889,0.899725275,coefs,0.659968596
24,"[0.060000000000000005, 'rbf', 'scale', 'ovr', True]",0.125490196,0.372093023,0.187683284,0.809752747,coefs,0.659968596
25,"[0.060000000000000005, 'rbf', 'scale', 'ovr', False]",0.125490196,0.372093023,0.187683284,0.809752747,coefs,0.659968596
150,"[0.46, 'poly', 'auto', 'ovr', True]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
151,"[0.46, 'poly', 'auto', 'ovr', False]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
182,"[0.56, 'poly', 'auto', 'ovr', True]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
183,"[0.56, 'poly', 'auto', 'ovr', False]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
198,"[0.6100000000000001, 'poly', 'auto', 'ovr', True]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
199,"[0.6100000000000001, 'poly', 'auto', 'ovr', False]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
246,"[0.76, 'poly', 'auto', 'ovr', True]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
247,"[0.76, 'poly', 'auto', 'ovr', False]",0.177083333,0.197674419,0.186813187,0.898351648,coefs,0.659968596
118,"[0.36000000000000004, 'poly', 'auto', 'ovr', True]",0.186046512,0.186046512,0.186046512,0.903846154,coefs,0.659968596
119,"[0.36000000000000004, 'poly', 'auto', 'ovr', False]",0.186046512,0.186046512,0.186046512,0.903846154,coefs,0.659968596
166,"[0.51, 'poly', 'auto', 'ovr', True]",0.175257732,0.197674419,0.18579235,0.897664835,coefs,0.659968596
167,"[0.51, 'poly', 'auto', 'ovr', False]",0.175257732,0.197674419,0.18579235,0.897664835,coefs,0.659968596
42,"[0.11, 'rbf', 'auto', 'ovr', True]",0.215384615,0.162790698,0.185430464,0.915521978,coefs,0.659968596
43,"[0.11, 'rbf', 'auto', 'ovr', False]",0.215384615,0.162790698,0.185430464,0.915521978,coefs,0.659968596
90,"[0.26, 'rbf', 'auto', 'ovr', True]",0.260869565,0.139534884,0.181818182,0.925824176,coefs,0.659968596
91,"[0.26, 'rbf', 'auto', 'ovr', False]",0.260869565,0.139534884,0.181818182,0.925824176,coefs,0.659968596
106,"[0.31000000000000005, 'rbf', 'auto', 'ovr', True]",0.260869565,0.139534884,0.181818182,0.925824176,coefs,0.659968596
107,"[0.31000000000000005, 'rbf', 'auto', 'ovr', False]",0.260869565,0.139534884,0.181818182,0.925824176,coefs,0.659968596
36,"[0.11, 'poly', 'scale', 'ovr', True]",0.118644068,0.325581395,0.173913043,0.817307692,coefs,0.659968596
37,"[0.11, 'poly', 'scale', 'ovr', False]",0.118644068,0.325581395,0.173913043,0.817307692,coefs,0.659968596
70,"[0.21000000000000002, 'poly', 'auto', 'ovr', True]",0.184210526,0.162790698,0.172839506,0.907967033,coefs,0.659968596
71,"[0.21000000000000002, 'poly', 'auto', 'ovr', False]",0.184210526,0.162790698,0.172839506,0.907967033,coefs,0.659968596
12,"[0.01, 'sigmoid', 'scale', 'ovr', True]",0.107344633,0.441860465,0.172727273,0.75,coefs,0.659968596
13,"[0.01, 'sigmoid', 'scale', 'ovr', False]",0.107344633,0.441860465,0.172727273,0.75,coefs,0.659968596
40,"[0.11, 'rbf', 'scale', 'ovr', True]",0.141732283,0.209302326,0.169014085,0.878434066,coefs,0.659968596
41,"[0.11, 'rbf', 'scale', 'ovr', False]",0.141732283,0.209302326,0.169014085,0.878434066,coefs,0.659968596
122,"[0.36000000000000004, 'rbf', 'auto', 'ovr', True]",0.244444444,0.127906977,0.167938931,0.925137363,coefs,0.659968596
123,"[0.36000000000000004, 'rbf', 'auto', 'ovr', False]",0.244444444,0.127906977,0.167938931,0.925137363,coefs,0.659968596
10,"[0.01, 'rbf', 'auto', 'ovr', True]",0.122222222,0.255813953,0.165413534,0.847527473,coefs,0.659968596
11,"[0.01, 'rbf', 'auto', 'ovr', False]",0.122222222,0.255813953,0.165413534,0.847527473,coefs,0.659968596
102,"[0.31000000000000005, 'poly', 'auto', 'ovr', True]",0.166666667,0.162790698,0.164705882,0.902472527,coefs,0.659968596
103,"[0.31000000000000005, 'poly', 'auto', 'ovr', False]",0.166666667,0.162790698,0.164705882,0.902472527,coefs,0.659968596
26,"[0.060000000000000005, 'rbf', 'auto', 'ovr', True]",0.15,0.174418605,0.161290323,0.892857143,coefs,0.659968596
27,"[0.060000000000000005, 'rbf', 'auto', 'ovr', False]",0.15,0.174418605,0.161290323,0.892857143,coefs,0.659968596
8,"[0.01, 'rbf', 'scale', 'ovr', True]",0.096470588,0.476744186,0.160469667,0.705357143,coefs,0.659968596
