,true_labels,lda_res_predict,probability
8842,1,0,0.3511182614933459
8571,1,0,0.3725202160740265
9042,1,1,0.7514297216847894
8165,1,1,0.5308636287814225
6158,1,1,0.7940297629478397
6154,1,0,0.2048913939469827
6649,1,1,0.6903124575572009
6650,1,1,0.7732683528132019
7138,1,0,0.37613746040879115
6149,1,1,0.5487060779177597
7126,1,1,0.7486633780758448
8560,1,1,0.5304308351935438
6135,1,1,0.8463472819632022
7595,1,1,0.6832184773261943
6667,1,0,0.46145880189362354
8589,1,1,0.574597840717369
8131,1,1,0.8383816332925044
7608,1,1,0.6497370078222099
6677,1,1,0.6411021854153437
6118,1,1,0.7441086238194283
9497,1,1,0.5245261257211112
8559,1,1,0.7959860252223698
6769,1,1,0.8194854973531119
8539,1,1,0.8261321386444317
7527,1,1,0.7815206700722412
6607,1,0,0.3766065177012543
7532,1,1,0.6711933634428143
6608,1,1,0.7464228245528007
9075,1,1,0.6834272793558145
6204,1,0,0.48305612545029764
7536,1,0,0.41606978986131776
6201,1,0,0.346925162525354
6618,1,1,0.7300873122766445
9050,1,1,0.5653873300817023
9471,1,1,0.5785930199561568
9479,1,1,0.8748347422438704
7156,1,1,0.6049435741600514
9485,1,1,0.6911492728897238
7155,1,1,0.8000476981399702
8554,1,0,0.4633927713397163
8178,1,1,0.8671760451204539
8175,1,1,0.5343547556003041
8592,1,1,0.8033268663241296
8125,1,0,0.27203747857590854
7617,1,0,0.45240816852434085
7689,1,0,0.44718912333668226
8956,1,1,0.6155601684881734
7677,1,0,0.24836357076605495
7682,1,1,0.6711593001644236
6739,1,1,0.8095523184181918
8651,1,1,0.7659430116325946
6031,1,1,0.8795026433714851
7688,1,1,0.5272659556593977
9623,1,0,0.08600530564067392
8059,1,0,0.41727592390927654
6110,1,0,0.4680073106969054
8947,1,1,0.5418208029140643
7704,1,0,0.2980618152740675
7036,1,1,0.8560771864993924
8930,1,1,0.63535025361668
7711,1,0,0.16983024777054836
8039,1,1,0.7709430984256004
6002,1,0,0.221054088359862
8671,1,1,0.6514453248200972
8645,1,1,0.6455829165294524
7673,1,0,0.4026398085353508
7671,1,0,0.48998042763187916
7668,1,1,0.7435653980128083
9548,1,1,0.871306302903164
8115,1,0,0.17391466741906586
6100,1,1,0.6767291931519982
8604,1,0,0.10548218335533249
7089,1,0,0.22106268265046516
8098,1,1,0.6752608006307209
7643,1,1,0.7845406625392982
8619,1,1,0.593899848308528
7645,1,1,0.6986965024504721
9578,1,0,0.43337580762552635
6076,1,0,0.495240747094951
9581,1,1,0.5426856628234757
6073,1,0,0.1247721395879144
8082,1,0,0.36761336012064944
6060,1,1,0.7616562944990394
9597,1,0,0.39152357160982315
6053,1,1,0.7397484043382682
6213,1,0,0.4097211922319354
8531,1,0,0.4033973772829314
7524,1,1,0.7392498228971894
7394,1,0,0.49206781758767193
6481,1,1,0.7784884921241779
9299,1,0,0.203594589233745
8337,1,1,0.8586292341963477
6907,1,1,0.5342457193578295
6363,1,1,0.5496362356823791
8332,1,1,0.8264894423903936
9188,1,0,0.31008728761103377
9308,1,1,0.7476860413815409
8436,1,0,0.16930856312465067
6508,1,1,0.7743258456776442
